trade_id,timestamp,symbol,event,side,price,usd_qty,pnl,balance,notes
1,2026-03-17 19:00:04,SOLUSDT,ENTRY_LONG,LONG,95.33,1000.0,0.0,1000.0,TP1=96.2833  TP2=96.7599  TP3=97.2366  SL=94.8533
1,2026-03-17 19:15:05,SOLUSDT,REVERSAL_CLOSE,LONG,95.34,1000.0,0.1049,1000.1049,
2,2026-03-17 19:15:05,SOLUSDT,ENTRY_SHORT,SHORT,95.34,1000.1049,0.0,1000.1049,TP1=94.3866  TP2=93.9099  TP3=93.4332  SL=95.8167
1,2026-03-17 19:44:45,SOLUSDT,ENTRY_LONG,LONG,94.98,1000.0,0.0,1000.0,TP1=95.9298  TP2=96.4047  TP3=96.8796  SL=94.5051
1,2026-03-17 19:45:06,SOLUSDT,REVERSAL_CLOSE,LONG,94.99,1000.0,0.1053,1000.1053,
2,2026-03-17 19:45:06,SOLUSDT,ENTRY_SHORT,SHORT,94.99,1000.1053,0.0,1000.1053,TP1=94.0401  TP2=93.5651  TP3=93.0902  SL=95.4649
1,2026-03-19 13:12:25,SOLUSDT,ENTRY_SHORT,SHORT,87.93,1000.0,0.0,1000.0,TP1=87.0507  TP2=86.6111  TP3=86.1714  SL=88.3696
1,2026-03-19 13:20:11,SOLUSDT,REVERSAL_CLOSE,SHORT,88.14,1000.0,-2.3883,997.6117,
2,2026-03-19 13:20:11,SOLUSDT,ENTRY_LONG,LONG,88.14,997.6117,0.0,997.6117,TP1=89.0214  TP2=89.4621  TP3=89.9028  SL=87.6993
2,2026-03-19 13:30:07,SOLUSDT,REVERSAL_CLOSE,LONG,87.87,997.6117,-3.056,994.5557,
3,2026-03-19 13:30:07,SOLUSDT,ENTRY_SHORT,SHORT,87.87,994.5557,0.0,994.5557,TP1=86.9913  TP2=86.5520  TP3=86.1126  SL=88.3093
3,2026-03-19 13:42:13,SOLUSDT,SL_HIT,SHORT,88.46,994.5557,-6.6779,987.8778,
4,2026-03-19 13:45:01,SOLUSDT,ENTRY_LONG,LONG,88.45,987.8778,0.0,987.8778,TP1=89.3345  TP2=89.7767  TP3=90.2190  SL=88.0078
4,2026-03-19 14:00:10,SOLUSDT,REVERSAL_CLOSE,LONG,88.56,987.8778,1.2286,989.1064,
5,2026-03-19 14:00:10,SOLUSDT,ENTRY_SHORT,SHORT,88.56,989.1064,0.0,989.1064,TP1=87.6744  TP2=87.2316  TP3=86.7888  SL=89.0028
5,2026-03-19 14:28:39,SOLUSDT,TP1_HIT,SHORT,87.65,494.5532,5.0818,994.1882,remaining=$494.55
5,2026-03-19 14:35:05,SOLUSDT,REVERSAL_CLOSE,SHORT,87.76,494.5532,4.4675,998.6557,
6,2026-03-19 14:35:05,SOLUSDT,ENTRY_LONG,LONG,87.76,998.6557,0.0,998.6557,TP1=88.6376  TP2=89.0764  TP3=89.5152  SL=87.3212
6,2026-03-19 14:40:10,SOLUSDT,REVERSAL_CLOSE,LONG,87.53,998.6557,-2.6173,996.0384,
7,2026-03-19 14:40:10,SOLUSDT,ENTRY_SHORT,SHORT,87.53,996.0384,0.0,996.0384,TP1=86.6547  TP2=86.2171  TP3=85.7794  SL=87.9676
7,2026-03-19 14:45:01,SOLUSDT,REVERSAL_CLOSE,SHORT,87.74,996.0384,-2.3897,993.6488,
8,2026-03-19 14:45:01,SOLUSDT,ENTRY_LONG,LONG,87.74,993.6488,0.0,993.6488,TP1=88.6174  TP2=89.0561  TP3=89.4948  SL=87.3013
8,2026-03-19 15:05:57,SOLUSDT,TP1_HIT,LONG,88.63,496.8244,5.0396,998.6884,remaining=$496.82
8,2026-03-19 15:10:06,SOLUSDT,REVERSAL_CLOSE,LONG,88.45,496.8244,4.0203,1002.7087,
9,2026-03-19 15:10:06,SOLUSDT,ENTRY_SHORT,SHORT,88.45,1002.7087,0.0,1002.7087,TP1=87.5655  TP2=87.1232  TP3=86.6810  SL=88.8922
9,2026-03-19 15:15:04,SOLUSDT,REVERSAL_CLOSE,SHORT,88.46,1002.7087,-0.1134,1002.5953,
10,2026-03-19 15:15:04,SOLUSDT,ENTRY_LONG,LONG,88.46,1002.5953,0.0,1002.5953,TP1=89.3446  TP2=89.7869  TP3=90.2292  SL=88.0177
10,2026-03-19 15:19:02,SOLUSDT,SL_HIT,LONG,88.01,1002.5953,-5.1002,997.4951,
11,2026-03-19 15:20:05,SOLUSDT,ENTRY_SHORT,SHORT,87.87,997.4951,0.0,997.4951,TP1=86.9913  TP2=86.5520  TP3=86.1126  SL=88.3093
11,2026-03-19 15:30:05,SOLUSDT,REVERSAL_CLOSE,SHORT,87.84,997.4951,0.3406,997.8357,
12,2026-03-19 15:30:05,SOLUSDT,ENTRY_LONG,LONG,87.84,997.8357,0.0,997.8357,TP1=88.7184  TP2=89.1576  TP3=89.5968  SL=87.4008
12,2026-03-19 15:35:02,SOLUSDT,REVERSAL_CLOSE,LONG,87.77,997.8357,-0.7952,997.0405,
13,2026-03-19 15:35:02,SOLUSDT,ENTRY_SHORT,SHORT,87.77,997.0405,0.0,997.0405,TP1=86.8923  TP2=86.4534  TP3=86.0146  SL=88.2088
13,2026-03-19 15:40:01,SOLUSDT,REVERSAL_CLOSE,SHORT,87.88,997.0405,-1.2496,995.7909,
14,2026-03-19 15:40:01,SOLUSDT,ENTRY_LONG,LONG,87.88,995.7909,0.0,995.7909,TP1=88.7588  TP2=89.1982  TP3=89.6376  SL=87.4406
14,2026-03-19 15:45:07,SOLUSDT,REVERSAL_CLOSE,LONG,87.45,995.7909,-4.8724,990.9185,
15,2026-03-19 15:45:07,SOLUSDT,ENTRY_SHORT,SHORT,87.45,990.9185,0.0,990.9185,TP1=86.5755  TP2=86.1382  TP3=85.7010  SL=87.8872
15,2026-03-19 15:50:11,SOLUSDT,REVERSAL_CLOSE,SHORT,87.55,990.9185,-1.1331,989.7853,
16,2026-03-19 15:50:11,SOLUSDT,ENTRY_LONG,LONG,87.55,989.7853,0.0,989.7853,TP1=88.4255  TP2=88.8632  TP3=89.3010  SL=87.1123
16,2026-03-19 15:55:08,SOLUSDT,REVERSAL_CLOSE,LONG,87.65,989.7853,1.1305,990.9159,
17,2026-03-19 15:55:08,SOLUSDT,ENTRY_SHORT,SHORT,87.65,990.9159,0.0,990.9159,TP1=86.7735  TP2=86.3353  TP3=85.8970  SL=88.0883
17,2026-03-19 16:10:03,SOLUSDT,REVERSAL_CLOSE,SHORT,87.49,990.9159,1.8089,992.7247,
18,2026-03-19 16:10:03,SOLUSDT,ENTRY_LONG,LONG,87.49,992.7247,0.0,992.7247,TP1=88.3649  TP2=88.8023  TP3=89.2398  SL=87.0525
18,2026-03-19 16:15:11,SOLUSDT,REVERSAL_CLOSE,LONG,87.39,992.7247,-1.1347,991.5901,
19,2026-03-19 16:15:11,SOLUSDT,ENTRY_SHORT,SHORT,87.39,991.5901,0.0,991.5901,TP1=86.5161  TP2=86.0791  TP3=85.6422  SL=87.8269
19,2026-03-19 16:25:05,SOLUSDT,REVERSAL_CLOSE,SHORT,87.44,991.5901,-0.5673,991.0227,
20,2026-03-19 16:25:05,SOLUSDT,ENTRY_LONG,LONG,87.44,991.0227,0.0,991.0227,TP1=88.3144  TP2=88.7516  TP3=89.1888  SL=87.0028
20,2026-03-19 16:35:09,SOLUSDT,REVERSAL_CLOSE,LONG,87.3,991.0227,-1.5867,989.436,
21,2026-03-19 16:35:09,SOLUSDT,ENTRY_SHORT,SHORT,87.3,989.436,0.0,989.436,TP1=86.4270  TP2=85.9905  TP3=85.5540  SL=87.7365
21,2026-03-19 16:40:08,SOLUSDT,REVERSAL_CLOSE,SHORT,87.55,989.436,-2.8334,986.6026,
22,2026-03-19 16:40:08,SOLUSDT,ENTRY_LONG,LONG,87.55,986.6026,0.0,986.6026,TP1=88.4255  TP2=88.8632  TP3=89.3010  SL=87.1123
22,2026-03-19 16:50:02,SOLUSDT,REVERSAL_CLOSE,LONG,87.59,986.6026,0.4508,987.0533,
23,2026-03-19 16:50:02,SOLUSDT,ENTRY_SHORT,SHORT,87.59,987.0533,0.0,987.0533,TP1=86.7141  TP2=86.2762  TP3=85.8382  SL=88.0279
23,2026-03-19 17:00:06,SOLUSDT,REVERSAL_CLOSE,SHORT,87.7,987.0533,-1.2396,985.8137,
24,2026-03-19 17:00:06,SOLUSDT,ENTRY_LONG,LONG,87.7,985.8137,0.0,985.8137,TP1=88.5770  TP2=89.0155  TP3=89.4540  SL=87.2615
1,2026-03-19 17:03:43,SOLUSDT,ENTRY_LONG,LONG,87.44,1000.0,0.0,1000.0,TP1=88.3144  TP2=88.7516  TP3=89.1888  SL=87.0028
1,2026-03-19 17:05:07,SOLUSDT,REVERSAL_CLOSE,LONG,87.52,1000.0,0.9149,1000.9149,
2,2026-03-19 17:05:07,SOLUSDT,ENTRY_SHORT,SHORT,87.52,1000.9149,0.0,1000.9149,TP1=86.6448  TP2=86.2072  TP3=85.7696  SL=87.9576
2,2026-03-19 17:20:02,SOLUSDT,REVERSAL_CLOSE,SHORT,87.52,1000.9149,0.0,1000.9149,
3,2026-03-19 17:20:03,SOLUSDT,ENTRY_LONG,LONG,87.52,1000.9149,0.0,1000.9149,TP1=88.3952  TP2=88.8328  TP3=89.2704  SL=87.0824
3,2026-03-19 17:35:04,SOLUSDT,REVERSAL_CLOSE,LONG,87.73,1000.9149,2.4016,1003.3166,
4,2026-03-19 17:35:04,SOLUSDT,ENTRY_SHORT,SHORT,87.73,1003.3166,0.0,1003.3166,TP1=86.8527  TP2=86.4141  TP3=85.9754  SL=88.1686
4,2026-03-19 17:46:49,SOLUSDT,REVERSAL_CLOSE,SHORT,87.81,1003.3166,-0.9149,1002.4016,
5,2026-03-19 17:46:49,SOLUSDT,ENTRY_LONG,LONG,87.81,1002.4016,0.0,1002.4016,TP1=88.6881  TP2=89.1272  TP3=89.5662  SL=87.3710
5,2026-03-19 18:00:07,SOLUSDT,REVERSAL_CLOSE,LONG,88.18,1002.4016,4.2238,1006.6254,
6,2026-03-19 18:00:07,SOLUSDT,ENTRY_SHORT,SHORT,88.18,1006.6254,0.0,1006.6254,TP1=87.2982  TP2=86.8573  TP3=86.4164  SL=88.6209
6,2026-03-19 18:10:09,SOLUSDT,REVERSAL_CLOSE,SHORT,88.16,1006.6254,0.2283,1006.8537,
7,2026-03-19 18:10:09,SOLUSDT,ENTRY_LONG,LONG,88.16,1006.8537,0.0,1006.8537,TP1=89.0416  TP2=89.4824  TP3=89.9232  SL=87.7192
7,2026-03-19 18:20:11,SOLUSDT,REVERSAL_CLOSE,LONG,87.9,1006.8537,-2.9694,1003.8843,
8,2026-03-19 18:20:11,SOLUSDT,ENTRY_SHORT,SHORT,87.9,1003.8843,0.0,1003.8843,TP1=87.0210  TP2=86.5815  TP3=86.1420  SL=88.3395
8,2026-03-19 18:40:10,SOLUSDT,REVERSAL_CLOSE,SHORT,87.86,1003.8843,0.4568,1004.3412,
9,2026-03-19 18:40:10,SOLUSDT,ENTRY_LONG,LONG,87.86,1004.3412,0.0,1004.3412,TP1=88.7386  TP2=89.1779  TP3=89.6172  SL=87.4207
9,2026-03-19 18:45:10,SOLUSDT,REVERSAL_CLOSE,LONG,87.82,1004.3412,-0.4572,1003.8839,
10,2026-03-19 18:45:10,SOLUSDT,ENTRY_SHORT,SHORT,87.82,1003.8839,0.0,1003.8839,TP1=86.9418  TP2=86.5027  TP3=86.0636  SL=88.2591
10,2026-03-19 18:55:08,SOLUSDT,REVERSAL_CLOSE,SHORT,87.91,1003.8839,-1.0288,1002.8551,
11,2026-03-19 18:55:08,SOLUSDT,ENTRY_LONG,LONG,87.91,1002.8551,0.0,1002.8551,TP1=88.7891  TP2=89.2286  TP3=89.6682  SL=87.4704
11,2026-03-19 19:06:43,SOLUSDT,TP1_HIT,LONG,88.8,501.4276,5.0764,1007.9316,remaining=$501.43
11,2026-03-19 19:25:09,SOLUSDT,REVERSAL_CLOSE,LONG,89.02,501.4276,6.3313,1014.2629,
12,2026-03-19 19:25:09,SOLUSDT,ENTRY_SHORT,SHORT,89.02,1014.2629,0.0,1014.2629,TP1=88.1298  TP2=87.6847  TP3=87.2396  SL=89.4651
1,2026-03-19 19:40:47,SOLUSDT,ENTRY_LONG,LONG,88.96,1000.0,0.0,1000.0,TP1=89.8496  TP2=90.2944  TP3=90.7392  SL=88.5152
1,2026-03-19 19:50:08,SOLUSDT,REVERSAL_CLOSE,LONG,88.83,1000.0,-1.4613,998.5387,
2,2026-03-19 19:50:09,SOLUSDT,ENTRY_SHORT,SHORT,88.83,998.5387,0.0,998.5387,TP1=87.9417  TP2=87.4976  TP3=87.0534  SL=89.2741
1,2026-03-19 19:53:05,SOLUSDT,ENTRY_SHORT,SHORT,88.84,1000.0,0.0,1000.0,TP1=87.9516  TP2=87.5074  TP3=87.0632  SL=89.2842
1,2026-03-20 13:33:03,SOLUSDT,ENTRY_SHORT,SHORT,88.98,1000.0,0.0,1000.0,TP1=88.0902  TP2=87.6453  TP3=87.2004  SL=89.4249
1,2026-03-20 13:45:06,SOLUSDT,ENTRY_LONG,LONG,89.26,1000.0,0.0,1000.0,TP1=90.1526  TP2=90.5989  TP3=91.0452  SL=88.8137
1,2026-03-20 13:59:05,SOLUSDT,ENTRY_SHORT,SHORT,88.79,1000.0,0.0,1000.0,TP1=87.9021  TP2=87.4582  TP3=87.0142  SL=89.2339
1,2026-03-20 14:05:06,SOLUSDT,REVERSAL_CLOSE,SHORT,89.06,1000.0,-3.0409,996.9591,
2,2026-03-20 14:05:07,SOLUSDT,ENTRY_LONG,LONG,89.06,996.9591,0.0,996.9591,TP1=89.9506  TP2=90.3959  TP3=90.8412  SL=88.6147
1,2026-03-23 13:36:17,SOLUSDT,ENTRY_LONG,LONG,90.34,1000.0,0.0,1000.0,TP1=91.2434  TP2=91.6951  TP3=92.1468  SL=89.8883
